Exhibitors	AI
DNC INFORMATION MANAGEMENT GMBH	0
DOCENT	0
DOCUSIGN	0
DOMETHICS SRL	0
DOMIFA	0
DONGGUAN YUANGUAN TECHNOLOGY CO	0
DOPAVISION	0
DOSSIERFACILE	0
DOUZZIE	0
DPEPROD	0
DRACOSS	0
DRAFT & GOAL	0
DREAMINZZZ	0
DRESSX	0
DRIIVEME	0
DRILLLIGHT	0
DROIMAGE	0
DROMII CO., LTD	0
DROOPLE	0
DS PERFORMANCE	0
DSG.AI	0
DT MASTER CARBON	0
DUCKMA SRL	0
DUKE	0
DUST	0
DWS	0
DYDU	0
DYJEST	0
DYNAMO S.P.A	0
E-BMDC	0
EARTHIAN A1	0
EASTPOINT	0
EASY PEASY INSURTECH	0
EASYDMARC	0
EBIOSE	0
ECAL	0
ECOBARTER	0
ECOHESENS	0
ÉCOLE DES DIRIGEANTS HEC MONTRÉAL	0
ÉCOLLANT	0
ECOMESURE	0
ECONAUTIK	0
ECTOR	0
EDF	0
EDGELESS SYSTEMS	0
EDHEC ENTREPRENEURS	0
EDMAPS	0
EDONIA	0
EF POLYMER K.K.	0
EFFA	0
EFFIXIS	0
EFPOLYMER	0
EGONYM	0
EHLEAGUE, HOTELS CLUB BY TICATI.COM	0
EHP2	0
EIICON CO.,LTD	0
EIKO	0
EISOX	0
EKIMETRICS	0
EKLEER	0
ELA INNOVATION	0
ELDA TECHNOLOGY	0
ELECTRA	0
ELECTRIC OASIS	0
ELECTROCHAEA GMBH	0
ELEMENTAG	0
ELEPHANTECH INC.	0
ELIKYA THERAPEUTICS	0
ELIO SAS	0
ELIQ	0
ELIXIR HEALTH	0
ELLIPSE	0
ELONA HEALTH	0
ELOW	0
ELPYOO	0
ELYSIUM LAB	0
EMBASSY OF BRAZIL IN PARIS	0
EMBIE	0
EMCT CO., LTD	0
EMOCIO	0
EMPERIA	0
EMSENSE	0
EMULSION FLOW TECHNOLOGIES LTD.	0
EMVISTA	0
EN 1 CLIC	0
ENCHANTED TOOLS	0
ENCORP.IO	0
ENEAD	0
ENEDIS	0
ENERGIENCY	0
ENERGY	0
ENERGY ROBOTICS	0
ENERGYSAGE.FR	0
ENERSENS	0
ENERTIME	0
ENFANT DU NORD	0
ENGIE	0
ENGIE - REIDS SPORE	0
ENGIE GREEN	0
ENGIE LABORELEC	0
ENGIE MON PILOTAGE ELEC	0
ENGIE MON PILOTAGE GAZ	0
ENGIE SMART HOME - MA CONSO +	0
ENGIE VIANEO	0
ENHANCY (MIROA )	0
ENHYWHERE	0
ENNEA GROUPE	0
ENODE	0
ENOT.AI	0
ENQURA	0
ENRICH IN AFRICA CENTER	0
ENSO RSE	0
ENSOGO INC.	0
ENSPIRED	0
ENSWEET	0
ENTENT	0
ENTERPRISE ARMENIA	0
ENTRIX	0
ENTROPY	0
ENTROVIEW	0
ENVIRONMENTAL & HUMAN TECHNOLOGIES	0
EOLIANN S.R.L. SOCIETA' BENEFIT	0
EONA-X DATA SPACE	0
EPAGO TECHNOLOGIES LIMITED	0
EPHANTOM	0
EPIC ALGERIA VENTURE	0
EPICNPOC	0
EPOCA	0
EPSEED	0
EQL	0
EQUATALENT	0
EQUIP	0
ERATOS	0
ERGOSANTÉ / HAPO	0
ERMES CYBER SECURITY S.P.A.	0
ESENCIA FOODS	0
ESIEE PARIS	0
ESPER	0
ESPER BIONICS	0
ESTEPS	0
ESTONIE - AMBASSADE D'ESTONIE	0
ESTONIE- AMBASSADED'ESTONIE	0
ET EOS	0
ETA LAB	0
ETALAB	0
ETEOS	0
ETERNAL POWER GMBH	0
ETHER IMPACT	0
ETHERIMPACT	0
ETHIC FIRST	0
ETHONAI AG	0
ETHONAIAG	0
ETHYLOWHEEL	0
ETIKL	0
ETREEGO CO.	0
ETREEGO CO., LTD	0
ETSEME	0
ETSOL ENGINEERING	0
ETUDESK	0
ETuoESK	0
EU R ACTIV	0
EUGLENA CO., LTD	0
EUGLENA LTD	0
EURACTIV	0
EURAILSCOUT FRANCE	0
EURONEWS	0
EUROPEAN COMMISSION - DG CONNECT	0
EUROPEAN COMMISSION - DGCONNECT	0
EUROPEAN INNOVATION COUNCIL - EIC	0
EUROPEAN PATENT OFFICE	0
EV.TECH	0
EVENDSA	0
EVERDIAN	0
EVERFLY	0
EVERYHOMAN	0
EVERYHUMAN	0
EVRorRusr	0
EVROTRUST	0
EXA ION	0
EXAION	0
EXHALON.IO	0
EXNATON	0
EXPANDO	0
EXPERIENCE ABU DHABI	0
EXPLOR.AI	0
EXPLORE MEDIA	0
EXPO FAVELA PARIS - CUFA	0
EXPO FAVELA PARIS - CWA	0
EXS	0
EY	0
EYAKO	0
EYE-NET	0
EYESOFr	0
EYESOFT	0
EZYMOB	0
F OVI ATECH GMBH	0
F8TH INC.	0
FABNUM DES MINISTERES SOCIAUX	0
FABRIQ	0
FABSTWINES	0
FACEHEART CORPORATION	0
FACIL'ITI	0
FACIL•m	0
FACTORYZ	0
FAesrWlNES	0
FAIR VISION	0
FAIRLYNE	0
FAIRME	0
FAIRPLAYER	0
FAM OCO	0
FAME	0
FAMOCO	0
FAN CYTECH	0
FANARZONE	0
FANCYTECH	0
FARM 3	0
FARM ro FEED	0
FARM TO FEED	0
FARM3	0
FARMER LIFELINE TECHNOLCH31ES	0
FARMER LIFELINE TECHNOLOGIES	0
FARPOINT TECHNOLOGIES	0
FAS TEC X	0
FASEYA - YATOUZE	0
FAST DELIVERY	0
FASTECX	0
FASTEXVERSE	0
FASTPOINT	0
FASTSPRING	0
FAVA I	0
FAVA I INTIM'ED	0
FEELBAI	0
FEELBAT	0
FEELOBJECT	0
FEMALE FOUNDER CHALLENGE	0
FEMTECH FRANCE	0
FENTECH	0
FETHINC.	0
FIDELATOO	0
FIFTEEN	0
FIFTH WALL IMMERSIVE MEDIA LAB	0
FILEORBIS	0
FILIZ	0
FILTRALIFE	0
FILTRAuFE	0
FINANCIAL TIMES	0
FINAPP SRL	0
FINDS	0
FINENSE	0
FININFO SOUTIONS	0
FINOVOX	0
FIREFLY Fusi0N	0
FIREFLY FUSION	0
FIRErRACKlNG	0
FIRETRACKING	0
FIVEBRANE	0
FKM MOBILITE SAS	0
FKM SAS	0
Fl DELATOO	0
FLAMEUP	0
FLAX	0
FLAXIB	0
FLEX SYSTEM CO., LTD	0
FLEX SYSTEM CO.. LTD	0
FLEX-E	0
FLEXLEDLIGHT	0
FLIGHT BODDY	0
FLIGHT BUDDY	0
FLIPJUNGLE LAB	0
FLIPTION INC	0
FLIPTIONINC	0
FLIT RUN	0
FLOATEE	0
FLOATING GENES	0
FLOuC1	0
FLOUCI	0
FLOWARE	0
FLOWIE	0
FLUCTUO	0
FLUIIDD	0
FLYCOPTER PROJECT SAS	0
FLYING WHALES	0
FLYWALLET	0
FNAC DARTY	0
FOGO	0
FOLLOW INSPIRATION	0
FOLLOWER PRODUCTS	0
FOOD ANALYTICS	0
FOOD p 1 LOT	0
FOOD PILOT	0
FOOD4FUTURE	0
FOOD4FuvuRE	0
FOODELLES	0
FOOTBAR	0
FOOTSIDER	0
FORCIOT OY	0
FOREKASTS	0
FORTUNE MEDIA	0
FORTuNEME0'A	0
FOSINA	0
FOVIATECH GMBH	0
FOXAR	0
FR-ALERT	0
FRACTAL ENERGY	0
FRANC E QUADRICYCLE	0
FRANCE 2030	0
FRANCE MEDIAS MONDE	0
FRANCE MÉDIAS MONDE	0
FRANCE QUADRICYCLE	0
FRANCE TELEVISIONS	0
FRANCE TRAVAIL	0
FRANCE VAE	0
FRANCEINFO	0
FREEPLACE	0
FRENCH GENERAL SECRETARIAT FOR	0
FRENCH GERMAN TECH LAB I GERMANY	0
FRENCH IECH REUNION	0
FRENCH KOREAN CHAMBER OF COMMERCE	0
FRENCH ST A DIGITAL SPACE	0
FRENCH STATE'S DIGITAL SPACE	0
FRENCH TECH	0
FRENCH TECH GRAND PARIS	0
FRENCH TECH GUADELOUPE	0
FRENCH TECH GUYANE	0
FRENCH TECH MARTINIQUE	0
FRENCH TECH MAYOTTE	0
FRENCH TECH REUNION	0
FRENCH TOUCH F Y	0
FRENCH TOUCH FACTORY	0
FRESHWORKS	0
FRIMITY	0
FRINGUANT	0
FROE	0
FROGANS	0
FRUGGR	0
Fu 'FIN	0
FUJITSU LIMITED	0
FULFIN	0
FULLSOON	0
FUNARTECH	0
FUNGFEED	0
FUNGU'IT	0
FUNGu'lT	0
Fur u RA	0
FuruREWAVE	0
FUTURA	0
FUTURE FASHION S.R.L	0
FUTURE FASHION S.R.L.	0
FUTUREWAVE	0
FYLIA	0
G OBIWORLO	0
GA ZOTECH	0
GALENICA.AI	0
GAPIANNE	0
GARE T A BÉCANE	0
GARE TA BÉCANE	0
GASNAS	0
GAZOTECH	0
GCOLLECT	0
GCORE	0
GEDEON	0
GEEI@	0
GEEIQ	0
GENERA	0
X	0
GENIAL - GENERATIVE IA LAB	0
GENIESS	0
GENSE TECHNOLOGIES	0
GÉORGIE - LEPL PUBLIC SERVICE HALL	0
GEORGIE - LEPL pueuc SERVICE HALL	0
GERMAN BIONIC	0
GERMAN-FRENCH ACADEMY FOR THE	0
GI OTTO*'	0
GI SKARD	0
GIANO	0
GIFTY rECHNOLOGY	0
GIFTY TECHNOLOGY	0
GINO LEGALTECH	0
GIOTTO.AI	0
GIOZA	0
GISKARD	0
GK CONCEPT	0
GLAASTER	0
GLAFIT INC.	0
GLANCEABLE	0
GLIMPACT	0
GLOBAL 'DSA	0
GLOBAL ID SA	0
GLOBAL UKRAINE BANKING	0
GNACOMPANY	0
GOBELINS PARIS	0
GOBIWORLD	0
GODSPEED IT SERVICE LTD.	0
GOLDENEYE SMART VISION	0
GOO DEAR BER	0
GOODBARBER	1
GOOGLE	1
GOPARIIY	1
GOPARITY	1
GOTTAPHISH	1
GOUVX	1
GRANULAR	1
GRAPHEAL	1
GRAVIPACK	1
GRAVITHY	1
GRAVVITY A1	1
GREEN EAGLE	1
GREEN EYE SIGHT	1
GREEN MASCAREIGNES TECHNOLOGIES	1
GREEN PRAXIS	1
GREEN TECH INNOVATIONS	1
GREENANT	1
GREENBADG	1
GREENED	1
GREENLY	1
GREENOCO	1
GREENPILL TECH	1
GREENSKIN	1
GREENSPECTOR	1
GREENWITS	1
GREENZY	1
GREEZ	1
GREYN	1
GRID 10	1
GRIDIO	1
GRÖKSMITH	1
GROOVE Qu AN	1
GROOVE QUANTUM	1
GROUPE ADP	1
GROUPE CAISSE DES DEPOTS	1
GROUPE CAISSE DES DÉPOTS	1
GRouPE INTERACTION • POLE INNOVATION	1
GROUPE INTERACTION • pöLE INNOVATION	1
GROUPE LES ECHOS I LE PARISIEN	1
GROUPE LESECHOS/ LE PARISIEN	1
GROUPE SNCF	1
GUANGrAl GREEN CO., L ro.	1
GUANGTAI GREEN CO., LTD.	1
GUSTAVE ROUSSY TRANSFERT	1
GUYANE DÉVELOPPEMENT INNOVATION	1
GWENLAKE	1
GXPMANAGER	1
GYEONGGI-DO DX ZONE	1
GYMLIB	1
GYNGER	1
H24CARE	1
H2GREMM	1
HAIPER	1
HANDIROAD	1
HANDSOME	1
HAO JUEN TECHNOLOGY	1
HAO MAH sp ORTS	1
HAOMAH SPORTS	1
HAPPLY	1
HAPPLY.AI	1
HAPPLYZ MEDICAL	1
HAPPYPAL	1
HAPPYVORE	1
HATTAA!	1
HAuTA1	1
HAUTAI	1
HAWAI.TECH	1
HAWN. TECH	1
HEATVENTORS	1
HEC PARIS	1
HEELIO	1
HEEX TECHNOLOGIES	1
HELIOREC	1
HELLO ART UP	1
HELPY	1
HEPHAISTOS-PHARMA	1
HEPHIA	1
HERALBONY CO., LTD	1
HERAPREG	1
HERITAGE	1
HEURISTECH	1
HEXACUP	1
HEXADONE	1
HEXAGRO URBAN FARMING SRL	1
HEXAMIND	1
HICOOL	1
HIFLOW	1
HIGHCAST	1
HIGO TECHS	1
HIPPOC	1
HIPPOLYTE.AI	1
HITACHI, LTD.	1
HIVE ELECTRIC	1
HKVOR	1
HOLCIM MAQER VENTURES	1
HOLIS	1
HOLISTIC A1	1
HOLUSION	1
HONG KONG TRADE DEVELOPMENT	1
HONOR	1
HOOP CARPOOL	1
HOORY A1	1
HOPAE INC.	1
HOPE VALLEY A1	1
HOPINNOV SAS	1
HOPPEN	1
HORIZON	1
HOUSES OF EMERGING TECHNOLOGIES	1
HOWCOW	1
HRFLOW.AI	1
HSABATI	1
HSL TECHNOLOGIES	1
HTTPS://WWW.BACK2BUZZ.EU	1
HUAWEI	1
HUB FRANCE GAIA X	1
HUB INSTITUTE	1
HUB.BRUSSELS	1
HUBERT	1
HUBFINANCE	1
HUBUR EUROP - BOON H2 HYDROGEN BIKE	1
HUGGING FACE	1
HUMANITICS.AI	1
HUMANLINKER	1
HUMAPRO	1
HUSHH.AI	1
HXPERIENCE	1
HYDE	1
HYGIESYS	1
HYLÉRIA	1
HYPERPLAN	1
HYPERSHELL CO., LTD	1
HYPOCAPS	1
HYPORT	1
HYSPER TECH	1
HYUNDAI MOTOR AND KIA (ZEROINE)	1
I WANT TO EXHIBIT AT VIVATECH	1
I-PERCUT	1
IA MEDICAL	1
IARA	1
IAVC	1
IBC CORP - SCALING PARROTS	1
IBLE TECHNOLOGY INC.	1
IBM	1
ICOSIUM	1
IDA	1
IDAKTO	1
IDDOM AQUAPONIS	1
IDEM CREATIVE ARTS SCHOOL	1
IDICT - ADDEVICE	1
IFP ENERGIES NOUVELLES	1
IGN	1
IGONOGO	1
IKMÅ PIED	1
ILÉCO@	1
ILEYCOM	1
ILYA	1
IMKI	1
IMMERSIVE.PARIS	1
IMPACT BRIDGE	1
IMPACT*	1
IMPULSIO.	1
IMT	1
IN FOREIGN WE SPEAK (IFWS)	1
IN HEART	1
INBOLT	1
INBOUND INTELLIGENCE SOLUTION	1
INC.	1
INCARI-LABS	1
INCLUSIVITY SOLUTIONS	1
INCOMEDIA SRL	1
INDIENOV	1
INDusTRY	1
INDUSTRY OF THE FuluRE	1
INDUSTRY OF THE FUTURE	1
INEL INNOV	1
INEO	1
INETUM	1
INFIX TECHNOLOGIES	1
INFO.GOUV.FR	1
INFORICH INC.	1
INFRASPEAK	1
INGEN MECANICA	1
INGRAM MICRO	1
INHEART	1
INNOVATION	1
INVESTMENT, FRANCE 2030	1
KÜNSTLICHE INTELLIGENZ DFKI	1
MEDICAL	1
MYJOB.COMPANY I COOKORICO I KAVIAR	1
MYJOB.COMPANYI COOKORICOI KAWAR	1
NUMÉRIQUE Du MINISTÉRE DE L'INTÉRIEUR ET DES OUTRE-MER	1
PARIS	1
REGIONALE BOURGOGNE FRANCHE COMTE)	1
RETRACKING	1
S uZAN A1	1
S UZAN AI	1
SOINI ECH	1
STRATÉGIQUE)	1
TECH) • ELENOI (PARTENAIRE	1
TECH] • ELENDI (PARTENAIRE	1
TRANSFERT	1
UNIVERSITÉ FRANCO-ALLEMANDE (DFH-UFA)	1
VMTECH	1
 	
